년월,지점,강수량(mm)
Jan-01,전국,51.9
Feb-01,전국,63.5
Mar-01,전국,14.9
Apr-01,전국,26.4
May-01,전국,32.8
Jun-01,전국,249.2
Jul-01,전국,259.4
Aug-01,전국,101.7
Sep-01,전국,88.7
Oct-01,전국,100.6
Nov-01,전국,13.1
Dec-01,전국,28.5
Jan-02,전국,64
Feb-02,전국,6.7
Mar-02,전국,53.1
Apr-02,전국,153.7
May-02,전국,113.6
Jun-02,전국,71.5
Jul-02,전국,240.7
Aug-02,전국,614
Sep-02,전국,87.6
Oct-02,전국,62.4
Nov-02,전국,16.4
Dec-02,전국,46.1
Jan-03,전국,26.3
Feb-03,전국,49.4
Mar-03,전국,50.4
Apr-03,전국,197.9
May-03,전국,179.7
Jun-03,전국,188.9
Jul-03,전국,472.5
Aug-03,전국,339.5
Sep-03,전국,265.9
Oct-03,전국,27
Nov-03,전국,70.3
Dec-03,전국,15.1
Jan-04,전국,12.8
Feb-04,전국,44.7
Mar-04,전국,33
Apr-04,전국,93.6
May-04,전국,124.7
Jun-04,전국,233.5
Jul-04,전국,307.9
Aug-04,전국,318.9
Sep-04,전국,199.9
Oct-04,전국,5.6
Nov-04,전국,55.4
Dec-04,전국,27.7
Jan-05,전국,13.5
Feb-05,전국,34.3
Mar-05,전국,61.2
Apr-05,전국,76.4
May-05,전국,80.1
Jun-05,전국,163.7
Jul-05,전국,295.5
Aug-05,전국,304.7
Sep-05,전국,199.5
Oct-05,전국,34.5
Nov-05,전국,30.4
Dec-05,전국,16.1
Jan-06,전국,27.9
Feb-06,전국,32.4
Mar-06,전국,13.6
Apr-06,전국,105
May-06,전국,161.2
Jun-06,전국,153.7
Jul-06,전국,642.2
Aug-06,전국,125.5
Sep-06,전국,59.8
Oct-06,전국,44.8
Nov-06,전국,50.1
Dec-06,전국,20.9
Jan-07,전국,9.4
Feb-07,전국,45.2
Mar-07,전국,113.8
Apr-07,전국,35.6
May-07,전국,111.4
Jun-07,전국,91.9
Jul-07,전국,247.3
Aug-07,전국,326.4
Sep-07,전국,383.5
Oct-07,전국,52.8
Nov-07,전국,14
Dec-07,전국,29.7
Jan-08,전국,37.9
Feb-08,전국,8
Mar-08,전국,51.6
Apr-08,전국,49.7
May-08,전국,106.5
Jun-08,전국,186.9
Jul-08,전국,246.2
Aug-08,전국,191.1
Sep-08,전국,55.8
Oct-08,전국,30.9
Nov-08,전국,20
Dec-08,전국,17.5
Jan-09,전국,12.5
Feb-09,전국,37.6
Mar-09,전국,55.8
Apr-09,전국,58.3
May-09,전국,125
Jun-09,전국,132.2
Jul-09,전국,498.8
Aug-09,전국,152.6
Sep-09,전국,48.7
Oct-09,전국,41.9
Nov-09,전국,51.3
Dec-09,전국,30
Jan-10,전국,31.2
Feb-10,전국,83.5
Mar-10,전국,91.9
Apr-10,전국,90.4
May-10,전국,126.6
Jun-10,전국,60.1
Jul-10,전국,258
Aug-10,전국,375.3
Sep-10,전국,268.3
Oct-10,전국,37.6
Nov-10,전국,12.8
Dec-10,전국,28.8
Jan-11,전국,5
Feb-11,전국,63.4
Mar-11,전국,23.8
Apr-11,전국,115.3
May-11,전국,130.6
Jun-11,전국,285.3
Jul-11,전국,498.1
Aug-11,전국,284.8
Sep-11,전국,77.3
Oct-11,전국,54.8
Nov-11,전국,103.6
Dec-11,전국,16
Jan-12,전국,16.7
Feb-12,전국,9.5
Mar-12,전국,87.6
Apr-12,전국,132.3
May-12,전국,38.1
Jun-12,전국,76.2
Jul-12,전국,298.8
Aug-12,전국,405.2
Sep-12,전국,250.1
Oct-12,전국,57.3
Nov-12,전국,55
Dec-12,전국,61.8
Jan-13,전국,27.8
Feb-13,전국,51
Mar-13,전국,60.7
Apr-13,전국,77
May-13,전국,130
Jun-13,전국,104.4
Jul-13,전국,319.6
Aug-13,전국,161
Sep-13,전국,120.3
Oct-13,전국,54.1
Nov-13,전국,60
Dec-13,전국,21.1
Jan-14,전국,10.3
Feb-14,전국,26.9
Mar-14,전국,77.1
Apr-14,전국,84.4
May-14,전국,59.9
Jun-14,전국,80.7
Jul-14,전국,154.8
Aug-14,전국,373.1
Sep-14,전국,119.4
Oct-14,전국,120.8
Nov-14,전국,55.9
Dec-14,전국,25.5
Jan-15,전국,26.1
Feb-15,전국,25.4
Mar-15,전국,41.7
Apr-15,전국,128.7
May-15,전국,57.6
Jun-15,전국,96
Jul-15,전국,181.5
Aug-15,전국,113.4
Sep-15,전국,56
Oct-15,전국,67
Nov-15,전국,125.7
Dec-15,전국,40.6
Jan-16,전국,24.6
Feb-16,전국,46.7
Mar-16,전국,57
Apr-16,전국,159.5
May-16,전국,98.7
Jun-16,전국,66.8
Jul-16,전국,309.7
Aug-16,전국,78.2
Sep-16,전국,206.2
Oct-16,전국,144.1
Nov-16,전국,32.5
Dec-16,전국,65
Jan-17,전국,14.4
Feb-17,전국,30.6
Mar-17,전국,23.9
Apr-17,전국,71
May-17,전국,30
Jun-17,전국,59.7
Jul-17,전국,313.5
Aug-17,전국,239.5
Sep-17,전국,99.3
Oct-17,전국,65.5
Nov-17,전국,13.1
Dec-17,전국,22
Jan-18,전국,21.3
Feb-18,전국,31.9
Mar-18,전국,112.3
Apr-18,전국,137.1
May-18,전국,134.1
Jun-18,전국,137.5
Jul-18,전국,178.9
Aug-18,전국,304.3
Sep-18,전국,143.7
Oct-18,전국,157.8
Nov-18,전국,49.8
Dec-18,전국,28.4
Jan-19,전국,8
Feb-19,전국,32.2
Mar-19,전국,39.4
Apr-19,전국,78.9
May-19,전국,56.7
Jun-19,전국,150
Jul-19,전국,226.5
Aug-19,전국,136.9
Sep-19,전국,223
Oct-19,전국,160.5
Nov-19,전국,57.4
Dec-19,전국,26.5
Jan-20,전국,83.7
Feb-20,전국,58.7
Mar-20,전국,29.2
Apr-20,전국,41
May-20,전국,103.5
Jun-20,전국,182.9
Jul-20,전국,427.7
Aug-20,전국,420.8
Sep-20,전국,219.1
Oct-20,전국,10.5
Nov-20,전국,40.8
Dec-20,전국,7.8
Jan-21,전국,19.9
Feb-21,전국,20.1
Mar-21,전국,110.7
Apr-21,전국,76.3
May-21,전국,143.8
Jun-21,전국,91.6
Jul-21,전국,233.8
Aug-21,전국,288.4
Sep-21,전국,145.8
Oct-21,전국,53.9
Nov-21,전국,58
Dec-21,전국,7.2
Jan-22,전국,2.6
Feb-22,전국,3.5
Mar-22,전국,89.4
Apr-22,전국,59.4
May-22,전국,5.8
Jun-22,전국,184.7
Jul-22,전국,178.4
Aug-22,전국,311.5
Sep-22,전국,150.8
Oct-22,전국,77.6
Nov-22,전국,61.6
Dec-22,전국,15.2
Jan-23,전국,40.5
Feb-23,전국,15.2
Mar-23,전국,28.7
Apr-23,전국,66.3
May-23,전국,193.4
Jun-23,전국,210
Jul-23,전국,506.1
Aug-23,전국,299.6
Sep-23,전국,197.3
Oct-23,전국,17
Nov-23,전국,63.4
Dec-23,전국,102.9
