년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2001-01",전국,-2.3,-6.8,2.6
"			2001-02",전국,0.8,-4.1,6.4
"			2001-03",전국,5.3,-0.3,11.5
"			2001-04",전국,12.5,5.4,19.8
"			2001-05",전국,18.1,12.6,24.3
"			2001-06",전국,21.6,17.5,26.6
"			2001-07",전국,25.4,21.6,30.1
"			2001-08",전국,25,20.9,30.4
"			2001-09",전국,20.4,15.3,26.6
"			2001-10",전국,15.2,10.6,21.2
"			2001-11",전국,6.5,1.1,13.2
"			2001-12",전국,0.3,-4.3,5.7
"			2002-01",전국,1,-3.3,5.8
"			2002-02",전국,2.2,-3.4,8.6
"			2002-03",전국,7.7,1.6,14.2
"			2002-04",전국,13.2,7,19.5
"			2002-05",전국,16.7,11.5,22.5
"			2002-06",전국,20.9,15.6,26.8
"			2002-07",전국,24.3,20.9,28.5
"			2002-08",전국,23.6,20.9,27.4
"			2002-09",전국,19.8,15.4,25.5
"			2002-10",전국,12.5,7.3,18.8
"			2002-11",전국,4.5,-0.8,10.2
"			2002-12",전국,1.9,-2.4,6.9
"			2003-01",전국,-2.2,-6.9,3.1
"			2003-02",전국,2.1,-2.5,7.4
"			2003-03",전국,5.8,0.7,11.3
"			2003-04",전국,12.3,7,18.2
"			2003-05",전국,17.3,11.8,23.4
"			2003-06",전국,20.7,16.6,25.6
"			2003-07",전국,22.3,19.3,26.1
"			2003-08",전국,23.6,20.4,27.8
"			2003-09",전국,20.7,16.8,25.7
"			2003-10",전국,13.2,7.5,20
"			2003-11",전국,9.5,4.8,14.9
"			2003-12",전국,1.7,-3,6.9
"			2004-01",전국,-1.2,-6,4.5
"			2004-02",전국,2.7,-3,8.9
"			2004-03",전국,6.2,0.1,12.7
"			2004-04",전국,12.7,5.9,19.7
"			2004-05",전국,17.2,12.2,22.6
"			2004-06",전국,21.6,16.7,27.2
"			2004-07",전국,25,21.7,29.3
"			2004-08",전국,24.8,21.2,29.7
"			2004-09",전국,20.6,16.5,25.9
"			2004-10",전국,14,8,21
"			2004-11",전국,8.7,3.4,15.2
"			2004-12",전국,2.8,-2.1,8.6
"			2005-01",전국,-1.4,-6.2,3.8
"			2005-02",전국,-0.8,-5.5,4.2
"			2005-03",전국,4.5,-1,10.6
"			2005-04",전국,13,6.5,19.7
"			2005-05",전국,16.8,10.7,23.5
"			2005-06",전국,22.2,17.8,27.6
"			2005-07",전국,24.7,21.4,29
"			2005-08",전국,24.8,21.5,29.4
"			2005-09",전국,21.5,17.8,26.2
"			2005-10",전국,14,9,20.3
"			2005-11",전국,8,2.3,14.5
"			2005-12",전국,-2.6,-7.5,2.8
"			2006-01",전국,0.3,-4.2,5.5
"			2006-02",전국,0.9,-4,6.2
"			2006-03",전국,5.7,-0.3,12
"			2006-04",전국,11.1,5.8,16.8
"			2006-05",전국,17.1,12,22.9
"			2006-06",전국,21.1,16.6,26.6
"			2006-07",전국,23,20.4,26.6
"			2006-08",전국,26.3,22.5,31.5
"			2006-09",전국,19.3,14.6,24.9
"			2006-10",전국,16.5,11.2,23.4
"			2006-11",전국,8.5,3.5,14.1
"			2006-12",전국,1.7,-2.8,7.3
"			2007-01",전국,0.6,-4,6.3
"			2007-02",전국,3.8,-1.7,10.4
"			2007-03",전국,6.6,1.5,12.4
"			2007-04",전국,11.4,5.4,17.7
"			2007-05",전국,17.5,12,23.7
"			2007-06",전국,21.5,16.9,26.7
"			2007-07",전국,23.5,20.4,27.6
"			2007-08",전국,25.9,22.6,30.2
"			2007-09",전국,21.1,18,25.2
"			2007-10",전국,14.7,10,20.7
"			2007-11",전국,6.7,1.3,13.3
"			2007-12",전국,2.3,-1.8,7.3
"			2008-01",전국,-0.5,-4.6,4.2
"			2008-02",전국,-0.7,-6.2,5.4
"			2008-03",전국,6.8,1.1,13.1
"			2008-04",전국,12.8,6.6,19.4
"			2008-05",전국,17.2,11.3,23.5
"			2008-06",전국,20.3,16.1,25.2
"			2008-07",전국,25.9,22.5,30.3
"			2008-08",전국,24.5,20.5,29.4
"			2008-09",전국,21.2,16.8,27
"			2008-10",전국,15.5,10.2,22.2
"			2008-11",전국,7.5,2.5,13.4
"			2008-12",전국,1.8,-3.2,7.5
"			2009-01",전국,-1.4,-6.5,4.5
"			2009-02",전국,3.9,-1.2,9.4
"			2009-03",전국,6.7,1,12.6
"			2009-04",전국,12.3,5.9,19.3
"			2009-05",전국,18.1,12,24.7
"			2009-06",전국,21.7,16.9,27
"			2009-07",전국,23.5,20.1,27.8
"			2009-08",전국,24.3,20.5,28.9
"			2009-09",전국,20.7,16.1,26.4
"			2009-10",전국,15,9.3,22
"			2009-11",전국,7.5,3.2,12.6
"			2009-12",전국,0.6,-3.7,5.6
"			2010-01",전국,-2.2,-7.3,3.3
"			2010-02",전국,2,-2.4,7
"			2010-03",전국,5.2,0.8,9.7
"			2010-04",전국,9.6,4.2,15.3
"			2010-05",전국,16.9,11.3,22.9
"			2010-06",전국,22.2,17.1,28
"			2010-07",전국,25.2,22,29.4
"			2010-08",전국,26.6,23.6,30.9
"			2010-09",전국,21.6,17.7,26.8
"			2010-10",전국,14.2,9.2,20.4
"			2010-11",전국,6.7,0.9,13.3
"			2010-12",전국,0.5,-4.5,6
"			2011-01",전국,-5.2,-10.5,0.2
"			2011-02",전국,1.6,-3.7,7.7
"			2011-03",전국,4.3,-1.2,10.3
"			2011-04",전국,11,4.8,17.3
"			2011-05",전국,17.1,11.9,22.7
"			2011-06",전국,21.8,17.3,27
"			2011-07",전국,24.9,21.9,28.8
"			2011-08",전국,24.9,22,29
"			2011-09",전국,20.8,16.4,26.1
"			2011-10",전국,13.5,8,20
"			2011-11",전국,10.7,6.4,15.7
"			2011-12",전국,0.3,-4.1,5.2
"			2012-01",전국,-1.5,-6.2,3.6
"			2012-02",전국,-1.1,-6.2,4.5
"			2012-03",전국,5.4,0.7,10.4
"			2012-04",전국,12.4,6.4,18.7
"			2012-05",전국,18.1,12.6,24.4
"			2012-06",전국,21.9,17.7,27.1
"			2012-07",전국,25.2,21.8,29.6
"			2012-08",전국,26.2,22.8,30.5
"			2012-09",전국,19.9,15.8,25
"			2012-10",전국,14,8.3,20.8
"			2012-11",전국,6.2,1.5,11.4
"			2012-12",전국,-2.1,-6.5,2.7
"			2013-01",전국,-2.5,-7.4,2.9
"			2013-02",전국,0.4,-4.6,5.5
"			2013-03",전국,6.4,0,13.3
"			2013-04",전국,10.1,4.1,16.1
"			2013-05",전국,17.6,11.8,24
"			2013-06",전국,22.5,18.3,27.6
"			2013-07",전국,26,23,29.9
"			2013-08",전국,27,23.1,32
"			2013-09",전국,20.9,16.6,26.2
"			2013-10",전국,15.1,9.9,21.5
"			2013-11",전국,6.7,1.9,12.3
"			2013-12",전국,1.1,-3.4,6.1
"			2014-01",전국,0.2,-5.2,6
"			2014-02",전국,2.3,-2.5,7.7
"			2014-03",전국,7.5,1.8,13.4
"			2014-04",전국,13.1,7.2,19.7
"			2014-05",전국,18.2,11.9,24.9
"			2014-06",전국,21.6,17.7,26.6
"			2014-07",전국,24.8,21.1,29.6
"			2014-08",전국,23.6,20.6,27.6
"			2014-09",전국,20.6,16.1,26.3
"			2014-10",전국,14.5,9.1,21
"			2014-11",전국,8.5,3.6,14.2
"			2014-12",전국,-0.9,-5.5,4.1
"			2015-01",전국,0.2,-4.4,5.3
"			2015-02",전국,1.7,-2.9,7
"			2015-03",전국,6.5,0.1,13.3
"			2015-04",전국,12.5,7,18.4
"			2015-05",전국,18.4,12,25
"			2015-06",전국,21.5,16.9,27
"			2015-07",전국,24.2,20.7,28.5
"			2015-08",전국,25,21.1,30.1
"			2015-09",전국,20.2,15.2,26.1
"			2015-10",전국,14.7,9.2,21.4
"			2015-11",전국,9.8,6.3,13.9
"			2015-12",전국,3.2,-1,7.9
"			2016-01",전국,-1.3,-5.6,3.5
"			2016-02",전국,1.4,-3.6,6.9
"			2016-03",전국,6.9,1.2,13.1
"			2016-04",전국,13.6,7.9,20.1
"			2016-05",전국,18.4,12.1,25
"			2016-06",전국,22.2,17.9,27.2
"			2016-07",전국,25.2,21.8,29.7
"			2016-08",전국,26.5,22.2,31.9
"			2016-09",전국,21.4,17.8,26
"			2016-10",전국,15.5,11.6,20.5
"			2016-11",전국,7.5,2.6,13.1
"			2016-12",전국,2.7,-2,8
"			2017-01",전국,-0.3,-5.2,5.2
"			2017-02",전국,1.4,-4.2,7.1
"			2017-03",전국,6,0.2,12.4
"			2017-04",전국,13.6,7.5,20.2
"			2017-05",전국,18.5,12.1,25.2
"			2017-06",전국,21.6,16.3,27.7
"			2017-07",전국,26.2,23,30.4
"			2017-08",전국,25.2,21.6,29.7
"			2017-09",전국,20.3,15.4,26.1
"			2017-10",전국,15.1,10.5,20.8
"			2017-11",전국,6.5,0.9,12.7
"			2017-12",전국,-0.5,-5.4,4.7
"			2018-01",전국,-2.4,-6.8,2.7
"			2018-02",전국,-0.5,-6.1,5.5
"			2018-03",전국,7.9,2.1,14.1
"			2018-04",전국,13.1,7,19.5
"			2018-05",전국,17.7,12.4,23.3
"			2018-06",전국,22.1,17.3,27.7
"			2018-07",전국,26.6,22.6,31.5
"			2018-08",전국,27.1,23.1,32.1
"			2018-09",전국,20.2,15.9,25.1
"			2018-10",전국,12.7,7.5,19
"			2018-11",전국,7.7,2.6,14.2
"			2018-12",전국,0.8,-3.9,6.1
"			2019-01",전국,-0.1,-5.4,6
"			2019-02",전국,2.1,-2.9,7.9
"			2019-03",전국,7.2,1.3,13.6
"			2019-04",전국,11.7,5.9,17.9
"			2019-05",전국,18.4,11.5,25.4
"			2019-06",전국,21.2,16.5,26.7
"			2019-07",전국,24.7,21.3,28.9
"			2019-08",전국,26,22.1,30.8
"			2019-09",전국,21.5,17.8,26.3
"			2019-10",전국,15.5,10.7,21.3
"			2019-11",전국,8.4,3.1,14.9
"			2019-12",전국,2.5,-2.1,7.8
"			2020-01",전국,2.5,-1.5,7.4
"			2020-02",전국,3.4,-1.6,8.9
"			2020-03",전국,7.7,1.6,14
"			2020-04",전국,10.6,4.3,17.1
"			2020-05",전국,17.6,12.6,23.1
"			2020-06",전국,22.7,18.2,28
"			2020-07",전국,22.5,19.6,26.2
"			2020-08",전국,26.4,23.5,30.5
"			2020-09",전국,20.1,16.3,24.9
"			2020-10",전국,13.7,8.3,20
"			2020-11",전국,8.5,3.4,14.2
"			2020-12",전국,0.4,-4.4,5.9
"			2021-01",전국,-1.1,-6.3,4.5
"			2021-02",전국,3.4,-2.2,9.4
"			2021-03",전국,8.7,3.1,14.8
"			2021-04",전국,13.2,7.3,19.3
"			2021-05",전국,16.6,11.4,22.2
"			2021-06",전국,21.7,17.5,26.7
"			2021-07",전국,26,22.2,30.8
"			2021-08",전국,24.8,21.5,29.2
"			2021-09",전국,21.3,17.7,25.8
"			2021-10",전국,15.1,10.4,21.2
"			2021-11",전국,8.3,3.3,14.5
"			2021-12",전국,1.9,-3.1,7.4
"			2022-01",전국,-0.8,-6,5
"			2022-02",전국,-0.1,-5.4,5.7
"			2022-03",전국,7.7,2,13.7
"			2022-04",전국,13.8,7.5,20.4
"			2022-05",전국,18,11.5,24.6
"			2022-06",전국,22.4,18.3,27.2
"			2022-07",전국,25.9,22.5,30.3
"			2022-08",전국,25.3,22.1,29.1
"			2022-09",전국,21,16.6,26.3
"			2022-10",전국,14,8.9,20.1
"			2022-11",전국,9.6,3.9,16.5
"			2022-12",전국,-1.4,-6,3.8
"			2023-01",전국,-0.6,-5.8,5.1
"			2023-02",전국,2.5,-2.8,8.5
"			2023-03",전국,9.4,2.7,16.5
"			2023-04",전국,13.1,7.1,19.1
"			2023-05",전국,17.9,12.4,23.6
"			2023-06",전국,22.3,18,27.5
"			2023-07",전국,25.5,22.4,29.6
"			2023-08",전국,26.4,22.9,30.9
"			2023-09",전국,22.6,19,27.1
"			2023-10",전국,14.7,9.6,21.1
"			2023-11",전국,7.9,2.9,13.5
"			2023-12",전국,2.4,-2.1,7.3
"			",,,,
